lon,lat,vs30,z1pt0,z2pt5,vs30measured,backarc
151.634,-27.718,1100,4.2,0.398,0,0
152.855,-26.266,790,33.3,0.580,0,0
152.858,-25.287,1080,4.8,0.406,0,0
151.783,-28.088,1137,3.4,0.383,0,0
148.54,-27.398,270,479.4,1.983,0,0
150.117,-24.104,1085,4.7,0.404,0,0
150.682,-24.953,1003,7.8,0.442,0,0
150.513,-23.382,254,488.6,2.130,0,0
150.513,-23.376,320,442.0,1.631,0,0
150.518,-23.386,269,480.1,1.991,0,0
150.515,-23.38,355,408.4,1.452,0,0
150.514,-23.38,319,442.7,1.636,0,0
150.537,-23.373,267,481.3,2.009,0,0
150.544,-23.366,403,352.1,1.254,0,0
150.576,-23.362,1099,4.3,0.398,0,0
150.512,-23.379,264,483.0,2.035,0,0
150.513,-23.379,293,464.3,1.808,0,0
150.513,-23.378,302,457.5,1.747,0,0
150.511,-23.382,217,504.1,2.543,0,0
150.514,-23.377,333,430.3,1.560,0,0
150.507,-23.38,413,339.5,1.219,0,0
150.512,-23.382,229,499.8,2.393,0,0
150.515,-23.383,291,465.7,1.821,0,0
150.503,-23.383,961,10.3,0.464,0,0
148.787,-26.573,964,10.0,0.462,0,0
152.49,-27.866,753,43.5,0.613,0,0
152.589,-27.638,266,481.9,2.018,0,0
149.516,-22.346,97,522.3,6.363,0,0
153.406,-27.972,814,28.2,0.561,0,0
149.068,-27.152,917,13.8,0.490,0,0
152.319,-28.141,1100,4.2,0.398,0,0
150.458,-27.279,270,479.4,1.983,0,0
153.039,-26.392,351,412.6,1.471,0,0
150.458,-23.183,770,38.5,0.598,0,0
152.851,-26.899,1099,4.3,0.398,0,0
152.544,-25.546,1100,4.2,0.398,0,0
152.669,-25.556,558,164.7,0.865,0,0
151.82,-26.263,425,324.2,1.180,0,0
151.966,-28.163,1002,7.8,0.442,0,0
151.954,-27.56,533,190.5,0.910,0,0
153.534,-28.179,1118,3.8,0.390,0,0
153.545,-28.6,65,523.0,10.047,0,0
151.5,-30.644,1100,4.2,0.398,0,0
152.031,-28.214,669,78.7,0.702,0,0
153.151,-27.71,1106,4.1,0.395,0,0
152.097,-27.784,1100,4.2,0.398,0,0
151.873,-27.607,1100,4.2,0.398,0,0
152.439,-26.204,967,9.9,0.461,0,0
150.823,-24.873,644,93.6,0.733,0,0
151.871,-26.32,1134,3.5,0.384,0,0
152.612,-28.391,728,52.0,0.638,0,0
152.767,-26.941,1155,3.1,0.376,0,0
151.789,-27.031,176,514.8,3.236,0,0
151.861,-27.658,1107,4.1,0.395,0,0
150.374,-23.141,270,479.4,1.983,0,0
152.956,-26.561,487,245.1,1.010,0,0
152.211,-28.196,1120,3.8,0.389,0,0
151.977,-26.848,322,440.5,1.622,0,0
150.737,-23.134,519,206.6,0.939,0,0
152.544,-25.592,779,36.1,0.590,0,0
