SA 1-SEC,JAKARTA,BANDUNG,SEMARANG,YOGYAKARTA,SURABAYA,DENPASAR
0.0001,1.717156198,1.83285475,1.281951574,1.609021644,1.536646,1.69866388
0.000125,1.684783198,1.78981875,1.235421574,1.565071644,1.493616,1.65876388
0.0002,1.591459198,1.67160875,1.115801574,1.446871644,1.375167,1.55663088
0.000404,1.395792198,1.43870155,0.913711574,1.220961644,1.155449,1.37344588
0.001,1.082482198,1.0912615,0.668546574,0.900819644,0.862348,1.10834154
0.002,0.797296102,0.8017934,0.484145134,0.653517644,0.626423,0.87119822
0.002105,0.775005092,0.77992506,0.470611932,0.635542644,0.60867,0.8523308
0.003,0.620763536,0.62986054,0.379088618,0.514294644,0.487349,0.71843308
0.005,0.415601294,0.429806078,0.26026319,0.357030644,0.327119,0.52531232
0.01,0.207880926,0.221284182,0.137020228,0.194018044,0.1612778,0.29811526
0.0127,0.15745715,0.169541856,0.105632966,0.152510842,0.120316,0.23549578
0.02,0.087464694,0.09729694,0.060596712,0.092274682,0.0639116,0.1414269
0.0427,0.026679116,0.03354852,0.01997219,0.034353124,0.01758203,0.048540058
0.0641,0.01256557,0.017583133,0.010171716,0.018529802,0.00775844,0.02352081
0.144,0.002172465,0.00384932,0.002203186,0.004301228,0.001112891,0.003543794
0.216,0.000774868,0.00148016,0.000845185,0.001730147,0.000341186,0.001035595
0.487,0.000057713,0.000105558,5.43E-05,0.000142057,0.000014762,4.21E-05
1.09,1.04E-06,3.73E-07,3.40E-08,5.30E-07,5.85E-08,5.62E-07
2.46,6.52E-11,7.50E-21,7.00E-21,7.00E-21,7.00E-21,8.00E-21
3.69,8.00E-21,7.50E-21,7.00E-21,7.00E-21,7.00E-21,8.00E-21
