SA 0.2-SEC,JAKARTA,BANDUNG,SEMARANG,YOGYAKARTA,SURABAYA,DENPASAR
0.0001,1.816603198,1.93107395,1.394751574,1.714901644,1.625077,1.80652488
0.000125,1.814859198,1.9303904,1.394411574,1.714581644,1.622996,1.80330088
0.0002,1.809187198,1.9263966,1.391501574,1.711741644,1.615179,1.79376188
0.000404,1.784277198,1.8977615,1.363571574,1.685341644,1.580807,1.75705088
0.001,1.657629198,1.7389482,1.201371574,1.530721644,1.417452,1.60242988
0.002,1.448799198,1.48834905,0.967731574,1.288861644,1.16628,1.38845554
0.002105,1.429868198,1.46640675,0.948761574,1.267931644,1.144881,1.37060854
0.003,1.287573198,1.30619455,0.816754574,1.116221644,0.992755,1.24277048
0.005,1.051115782,1.0593827,0.631480472,0.887968644,0.773011,1.04961412
0.01,0.695053022,0.7214901,0.399963318,0.588917644,0.496468,0.77881232
0.0127,0.575699052,0.61152782,0.32921999,0.495459644,0.41166,0.6857498
0.02,0.375205788,0.423148922,0.214698382,0.339982644,0.2724156,0.51489438
0.0427,0.149064316,0.192742396,0.089215254,0.156422878,0.11365685,0.26847952
0.0641,0.081249646,0.115289136,0.051382064,0.095089406,0.06397339,0.168711808
0.144,0.018630216,0.033731566,0.014842114,0.028993474,0.015761209,0.048890104
0.216,0.007792187,0.016421498,0.007733256,0.014507574,0.006745832,0.02179848
0.487,0.001027599,0.003227719,0.001992359,0.003134307,0.000825637,0.002726388
1.09,7.57E-05,0.000397498,0.000284557,0.000438135,4.47E-05,0.000154838
2.46,1.00E-06,1.28E-05,8.22E-06,1.69E-05,4.70E-07,2.24E-06
3.69,1.85E-08,6.09E-08,3.67E-08,1.32E-07,4.26E-08,1.55E-07
